benchmark,compiler,bitness,optimization,runtime_seconds,spec_rate,run_id,suite
523.xalancbmk_r,Clang,32-bit,-O2,243.55863,4.335712,024,clang
525.x264_r,Clang,32-bit,-O2,242.347575,7.22516,024,clang
531.deepsjeng_r,Clang,32-bit,-O2,407.1105,2.814961,024,clang
541.leela_r,Clang,32-bit,-O2,528.408594,3.133938,024,clang
557.xz_r,Clang,32-bit,-O2,375.429098,2.876708,024,clang
500.perlbench_r,Clang,64-bit,-O2,337.212521,4.721058,025,clang
502.gcc_r,Clang,64-bit,-O2,241.916814,5.853252,025,clang
505.mcf_r,Clang,64-bit,-O2,393.636916,4.105306,025,clang
520.omnetpp_r,Clang,64-bit,-O2,332.031637,3.951431,025,clang
523.xalancbmk_r,Clang,64-bit,-O2,236.846229,4.458589,025,clang
525.x264_r,Clang,64-bit,-O2,215.287712,8.133302,025,clang
531.deepsjeng_r,Clang,64-bit,-O2,288.863979,3.967265,025,clang
541.leela_r,Clang,64-bit,-O2,433.905314,3.816501,025,clang
557.xz_r,Clang,64-bit,-O2,329.916069,3.27356,025,clang
500.perlbench_r,Clang,32-bit,-O3,395.413775,4.026162,026,clang
502.gcc_r,Clang,32-bit,-O3,262.419551,5.395939,026,clang
505.mcf_r,Clang,32-bit,-O3,429.291209,3.764344,026,clang
520.omnetpp_r,Clang,32-bit,-O3,345.962875,3.792314,026,clang
523.xalancbmk_r,Clang,32-bit,-O3,250.962417,4.207801,026,clang
525.x264_r,Clang,32-bit,-O3,272.133449,6.434343,026,clang
531.deepsjeng_r,Clang,32-bit,-O3,399.216287,2.870624,026,clang
541.leela_r,Clang,32-bit,-O3,509.791688,3.248386,026,clang
557.xz_r,Clang,32-bit,-O3,404.197971,2.671958,026,clang
500.perlbench_r,Clang,64-bit,-O3,340.733753,4.67227,027,clang
502.gcc_r,Clang,64-bit,-O3,246.61257,5.7418,027,clang
505.mcf_r,Clang,64-bit,-O3,374.000578,4.320849,027,clang
520.omnetpp_r,Clang,64-bit,-O3,309.615904,4.237508,027,clang
523.xalancbmk_r,Clang,64-bit,-O3,236.558257,4.464017,027,clang
525.x264_r,Clang,64-bit,-O3,254.652709,6.876031,027,clang
531.deepsjeng_r,Clang,64-bit,-O3,293.012233,3.9111,027,clang
541.leela_r,Clang,64-bit,-O3,419.369311,3.948787,027,clang
557.xz_r,Clang,64-bit,-O3,339.814513,3.178204,027,clang
500.perlbench_r,ICC,32-bit,-O0,652.489382,2.439886,029,icc
502.gcc_r,ICC,32-bit,-O0,593.934719,2.3841,029,icc
505.mcf_r,ICC,32-bit,-O0,630.087278,2.564724,029,icc
520.omnetpp_r,ICC,32-bit,-O0,1746.998015,0.751003,029,icc
523.xalancbmk_r,ICC,32-bit,-O0,2074.666115,0.508998,029,icc
525.x264_r,ICC,32-bit,-O0,1464.653829,1.195504,029,icc
531.deepsjeng_r,ICC,32-bit,-O0,813.491418,1.408743,029,icc
541.leela_r,ICC,32-bit,-O0,2624.877548,0.630887,029,icc
557.xz_r,ICC,32-bit,-O0,928.308433,1.163406,029,icc
500.perlbench_r,ICC,64-bit,-O0,720.68879,2.208998,030,icc
502.gcc_r,ICC,64-bit,-O0,649.586828,2.179847,030,icc
505.mcf_r,ICC,64-bit,-O0,615.696753,2.624669,030,icc
520.omnetpp_r,ICC,64-bit,-O0,1442.227149,0.909704,030,icc
523.xalancbmk_r,ICC,64-bit,-O0,1592.356726,0.663168,030,icc
525.x264_r,ICC,64-bit,-O0,1359.496127,1.287977,030,icc
531.deepsjeng_r,ICC,64-bit,-O0,677.208135,1.692242,030,icc
541.leela_r,ICC,64-bit,-O0,2406.064349,0.688261,030,icc
557.xz_r,ICC,64-bit,-O0,796.371803,1.35615,030,icc
500.perlbench_r,ICC,32-bit,-O1,347.320485,4.583663,031,icc
502.gcc_r,ICC,32-bit,-O1,291.935059,4.850394,031,icc
505.mcf_r,ICC,32-bit,-O1,413.40458,3.909004,031,icc
520.omnetpp_r,ICC,32-bit,-O1,399.720004,3.282298,031,icc
523.xalancbmk_r,ICC,32-bit,-O1,281.171736,3.755712,031,icc
525.x264_r,ICC,32-bit,-O1,731.466296,2.393822,031,icc
531.deepsjeng_r,ICC,32-bit,-O1,433.349253,2.644518,031,icc
541.leela_r,ICC,32-bit,-O1,611.241495,2.70924,031,icc
557.xz_r,ICC,32-bit,-O1,433.492417,2.491393,031,icc
500.perlbench_r,ICC,64-bit,-O1,340.992196,4.668729,032,icc
502.gcc_r,ICC,64-bit,-O1,298.589736,4.742293,032,icc
505.mcf_r,ICC,64-bit,-O1,392.351068,4.11876,032,icc
520.omnetpp_r,ICC,64-bit,-O1,425.866701,3.080776,032,icc
523.xalancbmk_r,ICC,64-bit,-O1,275.15626,3.837819,032,icc
